Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017
"55079000101","14000US55079000101","Census Tract 1.01, Milwaukee County, Wisconsin","Census Tract 1.01, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004717",,,,,"55","079",,,,"000101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5306,5015,1343,3567,13,70,0,16,6,291,37,0,0,0,0,254,0
"55079000102","14000US55079000102","Census Tract 1.02, Milwaukee County, Wisconsin","Census Tract 1.02, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004718",,,,,"55","079",,,,"000102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3648,3549,1034,2195,36,118,0,0,166,99,67,32,0,0,0,0,0
"55079000201","14000US55079000201","Census Tract 2.01, Milwaukee County, Wisconsin","Census Tract 2.01, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004719",,,,,"55","079",,,,"000201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4791,4019,1185,2657,0,102,0,0,75,772,120,0,0,0,0,613,39
"55079000202","14000US55079000202","Census Tract 2.02, Milwaukee County, Wisconsin","Census Tract 2.02, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004720",,,,,"55","079",,,,"000202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6324,6148,2687,2810,87,390,12,0,162,176,113,0,0,0,0,63,0
"55079000301","14000US55079000301","Census Tract 3.01, Milwaukee County, Wisconsin","Census Tract 3.01, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004721",,,,,"55","079",,,,"000301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1339,1339,1005,220,0,90,0,10,14,0,0,0,0,0,0,0,0
"55079000302","14000US55079000302","Census Tract 3.02, Milwaukee County, Wisconsin","Census Tract 3.02, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004722",,,,,"55","079",,,,"000302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3091,2946,448,2363,11,40,0,0,84,145,74,25,0,0,0,34,12
"55079000303","14000US55079000303","Census Tract 3.03, Milwaukee County, Wisconsin","Census Tract 3.03, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004723",,,,,"55","079",,,,"000303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2029,1980,864,941,0,77,0,0,98,49,25,0,0,0,0,24,0
"55079000304","14000US55079000304","Census Tract 3.04, Milwaukee County, Wisconsin","Census Tract 3.04, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004724",,,,,"55","079",,,,"000304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3072,3024,1318,1140,0,445,0,38,83,48,36,0,0,0,0,12,0
"55079000400","14000US55079000400","Census Tract 4, Milwaukee County, Wisconsin","Census Tract 4, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004725",,,,,"55","079",,,,"000400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450,2365,610,1384,79,0,0,0,292,85,0,0,0,0,0,85,0
"55079000501","14000US55079000501","Census Tract 5.01, Milwaukee County, Wisconsin","Census Tract 5.01, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004726",,,,,"55","079",,,,"000501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3539,3348,1576,1436,0,62,0,27,247,191,45,0,0,0,0,37,109
"55079000502","14000US55079000502","Census Tract 5.02, Milwaukee County, Wisconsin","Census Tract 5.02, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004727",,,,,"55","079",,,,"000502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3755,3722,820,2731,49,20,0,0,102,33,12,0,0,0,0,21,0
"55079000600","14000US55079000600","Census Tract 6, Milwaukee County, Wisconsin","Census Tract 6, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004728",,,,,"55","079",,,,"000600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6845,6723,1465,3612,0,1366,0,0,280,122,92,16,0,0,0,14,0
"55079000700","14000US55079000700","Census Tract 7, Milwaukee County, Wisconsin","Census Tract 7, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004729",,,,,"55","079",,,,"000700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3454,3374,1291,1838,5,198,0,7,35,80,52,0,0,15,0,13,0
"55079000800","14000US55079000800","Census Tract 8, Milwaukee County, Wisconsin","Census Tract 8, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004730",,,,,"55","079",,,,"000800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5433,5064,1155,3470,29,198,0,0,212,369,124,0,0,156,0,30,59
"55079000900","14000US55079000900","Census Tract 9, Milwaukee County, Wisconsin","Census Tract 9, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004731",,,,,"55","079",,,,"000900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3750,3575,741,2643,26,0,0,0,165,175,53,69,0,0,0,10,43
"55079001000","14000US55079001000","Census Tract 10, Milwaukee County, Wisconsin","Census Tract 10, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004732",,,,,"55","079",,,,"001000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3726,3538,500,2604,1,286,0,23,124,188,94,22,7,0,5,39,21
"55079001100","14000US55079001100","Census Tract 11, Milwaukee County, Wisconsin","Census Tract 11, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004733",,,,,"55","079",,,,"001100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2677,2677,304,2353,6,0,0,0,14,0,0,0,0,0,0,0,0
"55079001200","14000US55079001200","Census Tract 12, Milwaukee County, Wisconsin","Census Tract 12, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004734",,,,,"55","079",,,,"001200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2790,2611,215,1474,4,826,0,0,92,179,37,6,0,0,0,136,0
"55079001300","14000US55079001300","Census Tract 13, Milwaukee County, Wisconsin","Census Tract 13, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004735",,,,,"55","079",,,,"001300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3929,3794,317,2923,0,519,0,0,35,135,0,82,19,0,0,15,19
"55079001400","14000US55079001400","Census Tract 14, Milwaukee County, Wisconsin","Census Tract 14, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004736",,,,,"55","079",,,,"001400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2529,2439,364,1438,20,573,0,0,44,90,12,11,0,0,0,4,63
"55079001500","14000US55079001500","Census Tract 15, Milwaukee County, Wisconsin","Census Tract 15, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004737",,,,,"55","079",,,,"001500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3161,3161,538,1818,54,741,0,0,10,0,0,0,0,0,0,0,0
"55079001600","14000US55079001600","Census Tract 16, Milwaukee County, Wisconsin","Census Tract 16, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004738",,,,,"55","079",,,,"001600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3032,2951,525,2112,0,222,0,0,92,81,20,14,0,0,0,13,34
"55079001700","14000US55079001700","Census Tract 17, Milwaukee County, Wisconsin","Census Tract 17, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004739",,,,,"55","079",,,,"001700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4499,4381,1324,2963,0,86,0,0,8,118,118,0,0,0,0,0,0
"55079001800","14000US55079001800","Census Tract 18, Milwaukee County, Wisconsin","Census Tract 18, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004740",,,,,"55","079",,,,"001800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3036,2978,538,2252,0,149,0,0,39,58,27,0,7,0,0,24,0
"55079001900","14000US55079001900","Census Tract 19, Milwaukee County, Wisconsin","Census Tract 19, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004741",,,,,"55","079",,,,"001900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,2870,608,1925,50,91,0,0,196,131,70,0,0,0,0,61,0
"55079002000","14000US55079002000","Census Tract 20, Milwaukee County, Wisconsin","Census Tract 20, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004742",,,,,"55","079",,,,"002000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2263,2209,362,1769,1,29,0,0,48,54,35,0,0,0,0,6,13
"55079002100","14000US55079002100","Census Tract 21, Milwaukee County, Wisconsin","Census Tract 21, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004743",,,,,"55","079",,,,"002100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2067,2047,154,1880,0,0,0,0,13,20,0,0,0,0,0,20,0
