Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14006_001
"55079000101","14000US55079000101","Census Tract 1.01, Milwaukee County, Wisconsin","Census Tract 1.01, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004717",,,,,"55","079",,,,"000101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27421
"55079000102","14000US55079000102","Census Tract 1.02, Milwaukee County, Wisconsin","Census Tract 1.02, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004718",,,,,"55","079",,,,"000102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40692
"55079000201","14000US55079000201","Census Tract 2.01, Milwaukee County, Wisconsin","Census Tract 2.01, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004719",,,,,"55","079",,,,"000201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26699
"55079000202","14000US55079000202","Census Tract 2.02, Milwaukee County, Wisconsin","Census Tract 2.02, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004720",,,,,"55","079",,,,"000202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60294
"55079000301","14000US55079000301","Census Tract 3.01, Milwaukee County, Wisconsin","Census Tract 3.01, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004721",,,,,"55","079",,,,"000301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65000
"55079000302","14000US55079000302","Census Tract 3.02, Milwaukee County, Wisconsin","Census Tract 3.02, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004722",,,,,"55","079",,,,"000302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39408
"55079000303","14000US55079000303","Census Tract 3.03, Milwaukee County, Wisconsin","Census Tract 3.03, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004723",,,,,"55","079",,,,"000303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38590
"55079000304","14000US55079000304","Census Tract 3.04, Milwaukee County, Wisconsin","Census Tract 3.04, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004724",,,,,"55","079",,,,"000304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76152
"55079000400","14000US55079000400","Census Tract 4, Milwaukee County, Wisconsin","Census Tract 4, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004725",,,,,"55","079",,,,"000400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29943
"55079000501","14000US55079000501","Census Tract 5.01, Milwaukee County, Wisconsin","Census Tract 5.01, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004726",,,,,"55","079",,,,"000501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42321
"55079000502","14000US55079000502","Census Tract 5.02, Milwaukee County, Wisconsin","Census Tract 5.02, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004727",,,,,"55","079",,,,"000502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29578
"55079000600","14000US55079000600","Census Tract 6, Milwaukee County, Wisconsin","Census Tract 6, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004728",,,,,"55","079",,,,"000600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40551
"55079000700","14000US55079000700","Census Tract 7, Milwaukee County, Wisconsin","Census Tract 7, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004729",,,,,"55","079",,,,"000700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38482
"55079000800","14000US55079000800","Census Tract 8, Milwaukee County, Wisconsin","Census Tract 8, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004730",,,,,"55","079",,,,"000800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39237
"55079000900","14000US55079000900","Census Tract 9, Milwaukee County, Wisconsin","Census Tract 9, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004731",,,,,"55","079",,,,"000900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33409
"55079001000","14000US55079001000","Census Tract 10, Milwaukee County, Wisconsin","Census Tract 10, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004732",,,,,"55","079",,,,"001000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33904
"55079001100","14000US55079001100","Census Tract 11, Milwaukee County, Wisconsin","Census Tract 11, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004733",,,,,"55","079",,,,"001100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31333
"55079001200","14000US55079001200","Census Tract 12, Milwaukee County, Wisconsin","Census Tract 12, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004734",,,,,"55","079",,,,"001200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25050
"55079001300","14000US55079001300","Census Tract 13, Milwaukee County, Wisconsin","Census Tract 13, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004735",,,,,"55","079",,,,"001300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40196
"55079001400","14000US55079001400","Census Tract 14, Milwaukee County, Wisconsin","Census Tract 14, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004736",,,,,"55","079",,,,"001400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30078
"55079001500","14000US55079001500","Census Tract 15, Milwaukee County, Wisconsin","Census Tract 15, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004737",,,,,"55","079",,,,"001500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37849
"55079001600","14000US55079001600","Census Tract 16, Milwaukee County, Wisconsin","Census Tract 16, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004738",,,,,"55","079",,,,"001600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31771
"55079001700","14000US55079001700","Census Tract 17, Milwaukee County, Wisconsin","Census Tract 17, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004739",,,,,"55","079",,,,"001700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37773
"55079001800","14000US55079001800","Census Tract 18, Milwaukee County, Wisconsin","Census Tract 18, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004740",,,,,"55","079",,,,"001800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23442
"55079001900","14000US55079001900","Census Tract 19, Milwaukee County, Wisconsin","Census Tract 19, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004741",,,,,"55","079",,,,"001900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40456
"55079002000","14000US55079002000","Census Tract 20, Milwaukee County, Wisconsin","Census Tract 20, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004742",,,,,"55","079",,,,"002000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24683
"55079002100","14000US55079002100","Census Tract 21, Milwaukee County, Wisconsin","Census Tract 21, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004743",,,,,"55","079",,,,"002100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23388
"55079002200","14000US55079002200","Census Tract 22, Milwaukee County, Wisconsin","Census Tract 22, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004744",,,,,"55","079",,,,"002200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36571
"55079002300","14000US55079002300","Census Tract 23, Milwaukee County, Wisconsin","Census Tract 23, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004745",,,,,"55","079",,,,"002300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25271
